TIME,A Flex/Ext,Knee Int/Ext R,A I/E
0.518962,17.139327,-3.347718,-17.374269
0.519962,17.149753,-3.360941,-17.106106
0.520962,17.149753,-3.367553,-16.837943
0.521962,17.149753,-3.387388,-16.659168
0.522962,17.139327,-3.400611,-16.525087
0.523962,17.128901,-3.407223,-16.435699
0.524962,17.118475,-3.413835,-16.301618
0.525962,17.087197,-3.413835,-16.21223
0.526962,17.055919,-3.420447,-16.167536
0.527962,17.02464,-3.440282,-16.033455
0.528962,16.993362,-3.466729,-15.899373
0.529962,16.962084,-3.493176,-15.765292
0.530962,16.930806,-3.519623,-15.631211
0.531962,16.899527,-3.539458,-15.497129
0.532962,16.868249,-3.579128,-15.407742
0.533962,16.826545,-3.618798,-15.318354
0.534962,16.78484,-3.638634,-15.27366
0.535962,16.753562,-3.645245,-15.318354
0.536962,16.743136,-3.658469,-15.452435
0.537962,16.753562,-3.684916,-15.586517
0.538962,16.763988,-3.698139,-15.675904
0.539962,16.763988,-3.724586,-15.809986
0.540962,16.763988,-3.770868,-15.988761
0.541962,16.763988,-3.823762,-16.167536
0.542962,16.78484,-3.883268,-16.346311
0.543962,16.805693,-3.942773,-16.525087
0.544962,16.816119,-3.995667,-16.793249
0.545962,16.826545,-4.055173,-17.016718
0.546962,16.836971,-4.114678,-17.240187
0.547962,16.836971,-4.174184,-17.463656
0.548962,16.836971,-4.233689,-17.731819
0.549962,16.847397,-4.27336,-18.044676
0.550962,16.878675,-4.31303,-18.357533
0.551962,16.909953,-4.359312,-18.625695
0.552962,16.92038,-4.405594,-18.849164
0.553962,16.909953,-4.445265,-19.02794
0.554962,16.889101,-4.478323,-19.162021
0.555962,16.868249,-4.50477,-19.296102
0.556962,16.857823,-4.517994,-19.340796
0.557962,16.836971,-4.511382,-19.340796
0.558962,16.816119,-4.491547,-19.296102
0.559962,16.774414,-4.458488,-19.296102
0.560962,16.73271,-4.418818,-19.340796
0.561962,16.722284,-4.379147,-19.296102
0.562962,16.711858,-4.332865,-19.296102
0.563962,16.701432,-4.286583,-19.296102
0.564962,16.711858,-4.240301,-19.251409
0.565962,16.722284,-4.194019,-19.162021
0.566962,16.711858,-4.154349,-19.02794
0.567962,16.691006,-4.108067,-18.849164
0.568962,16.670154,-4.061784,-18.625695
0.569962,16.659728,-4.008891,-18.357533
0.570962,16.659728,-3.949385,-18.08937
0.571962,16.659728,-3.889879,-17.910595
0.572962,16.670154,-3.836986,-17.687126
0.573962,16.68058,-3.790703,-17.553044
0.574962,16.701432,-3.751033,-17.374269
0.575962,16.722284,-3.717974,-17.284881
0.576962,16.753562,-3.698139,-17.106106
0.577962,16.795267,-3.698139,-16.837943
0.578962,16.805693,-3.698139,-16.659168
0.579962,16.816119,-3.698139,-16.525087
0.580962,16.836971,-3.704751,-16.391005
0.581962,16.847397,-3.711363,-16.301618
0.582962,16.868249,-3.711363,-16.167536
0.583962,16.899527,-3.704751,-15.988761
0.584962,16.930806,-3.711363,-15.899373
0.585962,16.962084,-3.717974,-15.899373
0.586962,17.003788,-3.731198,-15.988761
0.587962,17.045492,-3.751033,-16.033455
0.588962,17.087197,-3.770868,-16.033455
0.589962,17.108049,-3.790703,-16.122842
0.590962,17.128901,-3.810539,-16.122842
0.591962,17.170605,-3.830374,-16.21223
0.592962,17.21231,-3.843597,-16.256924
0.593962,17.254014,-3.836986,-16.346311
0.594962,17.274866,-3.810539,-16.525087
0.595962,17.306144,-3.784092,-16.614474
0.596962,17.347849,-3.764257,-16.614474
0.597962,17.368701,-3.724586,-16.614474
0.598962,17.389553,-3.684916,-16.614474
0.599962,17.389553,-3.658469,-16.659168
0.600962,17.399979,-3.645245,-16.793249
0.601962,17.410405,-3.632022,-16.882637
0.602962,17.420831,-3.618798,-16.927331
0.603962,17.410405,-3.605575,-16.927331
0.604962,17.399979,-3.598963,-16.972025
0.605962,17.389553,-3.592352,-16.972025
0.606962,17.399979,-3.58574,-16.927331
0.607962,17.410405,-3.58574,-16.927331
0.608962,17.389553,-3.58574,-16.882637
0.609962,17.368701,-3.598963,-16.837943
0.610962,17.358275,-3.632022,-16.793249
0.611962,17.358275,-3.665081,-16.703862
0.612962,17.358275,-3.698139,-16.659168
0.613962,17.347849,-3.717974,-16.703862
0.614962,17.347849,-3.764257,-16.793249
0.615962,17.347849,-3.81715,-16.927331
0.616962,17.368701,-3.856821,-17.061412
0.617962,17.368701,-3.889879,-17.1508
0.618962,17.368701,-3.916326,-17.240187
0.619962,17.368701,-3.942773,-17.284881
0.620962,17.379127,-3.96922,-17.329575
0.621962,17.389553,-3.989055,-17.374269
0.622962,17.410405,-4.015502,-17.50835
0.623962,17.410405,-4.035337,-17.642432
0.624962,17.410405,-4.041949,-17.821207
0.625962,17.410405,-4.048561,-17.955288
0.626962,17.410405,-4.048561,-17.999982
0.627962,17.389553,-4.041949,-18.08937
0.628962,17.368701,-4.048561,-18.178757
0.629962,17.347849,-4.055173,-18.312839
0.630962,17.316571,-4.068396,-18.357533
0.631962,17.285292,-4.068396,-18.357533
0.632962,17.254014,-4.048561,-18.268145
0.633962,17.201884,-4.041949,-18.178757
0.634962,17.160179,-4.035337,-18.044676
0.635962,17.118475,-4.028726,-17.910595
0.636962,17.087197,-4.028726,-17.821207
0.637962,17.055919,-4.028726,-17.731819
0.638962,17.035066,-4.028726,-17.687126
0.639962,16.993362,-4.015502,-17.597738
0.640962,16.962084,-4.015502,-17.463656
0.641962,16.930806,-4.022114,-17.240187
0.642962,16.92038,-4.028726,-17.061412
0.643962,16.899527,-4.035337,-17.061412
0.644962,16.889101,-4.041949,-16.972025
0.645962,16.889101,-4.041949,-16.837943
0.646962,16.889101,-4.041949,-16.659168
0.647962,16.899527,-4.041949,-16.56978
0.648962,16.909953,-4.035337,-16.435699
0.649962,16.92038,-4.048561,-16.346311
0.650962,16.941232,-4.061784,-16.301618
0.651962,16.962084,-4.075008,-16.301618
0.652962,16.97251,-4.08162,-16.256924
0.653962,16.97251,-4.075008,-16.21223
0.654962,16.97251,-4.068396,-16.167536
0.655962,16.951658,-4.061784,-16.078149
0.656962,16.951658,-4.061784,-15.988761
0.657962,16.941232,-4.055173,-15.988761
0.658962,16.930806,-4.048561,-16.033455
0.659962,16.909953,-4.048561,-16.078149
0.660962,16.909953,-4.055173,-16.033455
0.661962,16.909953,-4.061784,-16.033455
0.662962,16.899527,-4.068396,-16.078149
0.663962,16.889101,-4.075008,-16.078149
0.664962,16.878675,-4.08162,-16.033455
0.665962,16.868249,-4.088231,-16.033455
0.666962,16.857823,-4.088231,-16.033455
0.667962,16.847397,-4.075008,-15.988761
0.668962,16.847397,-4.068396,-15.988761
0.669962,16.868249,-4.061784,-16.033455
0.670962,16.889101,-4.061784,-16.078149
0.671962,16.909953,-4.061784,-16.122842
0.672962,16.930806,-4.055173,-16.167536
0.695404,16.930806,-4.055173,-16.21223
0.696404,16.951658,-4.061784,-16.167536
0.697404,16.97251,-4.068396,-16.167536
0.698404,16.993362,-4.061784,-16.21223
0.699404,17.014214,-4.041949,-16.256924
0.700404,17.035066,-4.028726,-16.301618
0.701404,17.045492,-4.015502,-16.346311
0.702404,17.055919,-4.002279,-16.435699
0.703404,17.055919,-3.989055,-16.480393
0.704404,17.055919,-3.989055,-16.56978
0.705404,17.055919,-3.989055,-16.703862
0.706404,17.066345,-3.995667,-16.837943
0.707404,17.066345,-3.989055,-16.927331
0.708404,17.055919,-4.002279,-17.016718
0.709404,17.035066,-4.015502,-17.106106
0.710404,17.014214,-4.028726,-17.195494
0.711404,17.014214,-4.055173,-17.240187
0.712404,17.02464,-4.068396,-17.284881
0.713404,17.02464,-4.068396,-17.374269
0.714404,17.02464,-4.068396,-17.418963
0.715404,17.02464,-4.08162,-17.418963
0.716404,17.014214,-4.108067,-17.374269
0.717404,17.014214,-4.127902,-17.374269
0.718404,17.02464,-4.147737,-17.418963
0.719404,17.035066,-4.16096,-17.50835
0.720404,17.076771,-4.174184,-17.642432
0.721404,17.108049,-4.180796,-17.687126
